Date,Type,Link
2023-12-26 17:06:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145443156661092352?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7145443156661092352%2C7145455391563329538%29
2023-12-26 17:06:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145443156661092352?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7145443156661092352%2C7145455893424361472%29
2023-12-26 16:48:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145443156661092352?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7145443156661092352%2C7145443640268537856%29
2023-12-26 15:13:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145360122817548288
2023-12-26 14:19:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7141023981523972097
2023-12-26 14:19:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142484655450099713
2023-12-26 14:13:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7140485712994381824
2023-12-26 14:12:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145393024016048131
2023-12-25 22:36:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7145143946111889408
2023-12-25 13:29:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A25827-7144903822115573760
2023-12-24 17:27:35,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7143258244814209024
2023-12-24 14:47:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7144499189547253760
2023-12-24 03:15:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7144361212300902400?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7144361212300902400%2C7144501356815454208%29
2023-12-23 23:51:23,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7144361212300902400
2023-12-23 16:03:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7144321703379193856
2023-12-22 01:07:04,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7143634122442264576
2023-12-22 01:05:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7143464152915783680
2023-12-22 00:42:08,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7143631642216103936
2023-12-22 00:09:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7143663171352924160
